3,2013-07-25 00:00:00.0,12111
5,2013-07-25 00:00:00.0,11318
6,2013-07-25 00:00:00.0,7130
7,2013-07-25 00:00:00.0,4530
15,2013-07-25 00:00:00.0,2568
17,2013-07-25 00:00:00.0,2667
22,2013-07-25 00:00:00.0,333
26,2013-07-25 00:00:00.0,7562
28,2013-07-25 00:00:00.0,656
32,2013-07-25 00:00:00.0,3960
35,2013-07-25 00:00:00.0,4840
45,2013-07-25 00:00:00.0,2636
56,2013-07-25 00:00:00.0,10519
63,2013-07-25 00:00:00.0,1148
65,2013-07-25 00:00:00.0,5903
67,2013-07-25 00:00:00.0,1406
71,2013-07-25 00:00:00.0,8646
72,2013-07-25 00:00:00.0,4349
76,2013-07-25 00:00:00.0,6898
80,2013-07-25 00:00:00.0,3007
83,2013-07-25 00:00:00.0,1265
88,2013-07-25 00:00:00.0,3809
91,2013-07-25 00:00:00.0,8912
92,2013-07-25 00:00:00.0,6932
95,2013-07-25 00:00:00.0,9032
98,2013-07-25 00:00:00.0,5243
102,2013-07-25 00:00:00.0,8027
105,2013-07-26 00:00:00.0,8220
107,2013-07-26 00:00:00.0,1845
110,2013-07-26 00:00:00.0,2746
114,2013-07-26 00:00:00.0,2091
118,2013-07-26 00:00:00.0,1737
124,2013-07-26 00:00:00.0,2374
126,2013-07-26 00:00:00.0,610
135,2013-07-26 00:00:00.0,7738
137,2013-07-26 00:00:00.0,4211
139,2013-07-26 00:00:00.0,7933
141,2013-07-26 00:00:00.0,12128
143,2013-07-26 00:00:00.0,10495
146,2013-07-26 00:00:00.0,8177
149,2013-07-26 00:00:00.0,11431
152,2013-07-26 00:00:00.0,3611
153,2013-07-26 00:00:00.0,8876
160,2013-07-26 00:00:00.0,6762
163,2013-07-26 00:00:00.0,3348
171,2013-07-26 00:00:00.0,1980
172,2013-07-26 00:00:00.0,11382
174,2013-07-26 00:00:00.0,3358
175,2013-07-26 00:00:00.0,384
178,2013-07-26 00:00:00.0,8503
179,2013-07-26 00:00:00.0,6506
182,2013-07-26 00:00:00.0,10984
183,2013-07-26 00:00:00.0,12105
184,2013-07-26 00:00:00.0,210
186,2013-07-26 00:00:00.0,1104
207,2013-07-26 00:00:00.0,11643
210,2013-07-26 00:00:00.0,10102
214,2013-07-26 00:00:00.0,3925
218,2013-07-26 00:00:00.0,3935
220,2013-07-26 00:00:00.0,1383
225,2013-07-26 00:00:00.0,11275
231,2013-07-26 00:00:00.0,3960
233,2013-07-26 00:00:00.0,12316
236,2013-07-26 00:00:00.0,9785
239,2013-07-26 00:00:00.0,5058
247,2013-07-26 00:00:00.0,173
248,2013-07-26 00:00:00.0,11707
250,2013-07-26 00:00:00.0,11668
252,2013-07-26 00:00:00.0,9708
253,2013-07-26 00:00:00.0,45
254,2013-07-26 00:00:00.0,9395
