27,3241
33,5793
41,8136
47,8487
75,2505
134,12081
142,5760
147,275
162,3304
204,7604
230,4921
235,4285
276,2221
281,827
289,1195
318,8829
359,6020
425,10481
441,5239
460,2521
467,1719
488,10143
489,2030
503,6377
514,10962
515,5921
565,3850
578,2529
584,1263
594,1946
596,8352
610,1866
690,7279
699,7472
757,1648
776,3180
808,10509
812,7073
841,8410
877,5012
888,6610
896,478
918,780
930,954
948,4289
959,8993
991,7317
998,1739
1016,5231
1045,9990
1082,6078
1152,11725
1168,61
1181,5491
1189,10333
1193,10106
1224,8781
1227,8836
1242,9807
1248,6952
1282,9392
1306,11672
1311,5396
1326,10811
1354,8294
1391,5994
1409,1905
1456,10194
1475,5235
1476,8560
1486,11106
1494,6458
1502,6236
1510,12249
1511,9326
1514,7273
1516,8604
1527,7668
1551,7264
1584,12130
1608,8732
1622,8413
1643,3311
1679,6850
1716,8216
1724,2938
1739,1791
1765,6897
1793,8018
1794,6120
1806,3549
1845,11698
1867,6141
1872,6050
1919,8169
1924,1911
1951,8229
1972,9757
1978,1031
1979,2058
1986,557
1987,532
1994,2916
2002,9355
2018,4303
2022,251
2062,8438
2064,3442
2072,3827
2082,10610
2110,6076
2121,7546
2166,4893
2207,349
2225,2018
2229,10391
2252,80
2263,5367
2268,965
2323,5746
2324,4254
2376,3944
2422,5375
2438,1840
2457,9662
2503,3187
2525,2340
2537,1851
2549,6752
2576,4988
2590,7206
2595,2076
2612,9879
2649,4137
2681,12049
2748,5826
2782,12123
2786,11505
2808,327
2824,4652
2830,11429
2848,1937
2857,6623
2864,6198
2881,9749
2888,11179
2902,11544
2942,1625
2951,7845
3089,194
3114,11019
3130,12069
3133,6369
3174,6108
3211,5047
3216,973
3220,2585
3271,9643
3278,4195
3284,9120
3290,11170
3367,5105
3423,6999
3440,1448
3452,88
3466,10312
3490,6448
3503,8805
3530,808
3563,2095
3567,2663
3574,4412
3575,2761
3577,630
3594,3339
3598,11174
3599,2224
3613,9685
3662,424
3665,4907
3675,8360
3689,10039
3718,7583
3722,4008
3735,8525
3801,2596
3809,3180
3818,4119
3850,11753
3855,5502
3875,9557
3898,10085
3899,357
3901,8944
3908,9723
3942,5293
3966,11238
3972,5295
3975,7468
4008,7016
4013,11255
4035,10845
4043,3240
4066,6603
4076,12238
4091,4946
4104,12338
4132,1554
4188,11901
4213,2597
4226,4457
4230,11338
4249,4905
4254,9467
4287,5246
4288,6432
4311,185
4313,4926
4345,5642
4358,9523
4363,4549
4368,2379
4388,6986
4395,5822
4434,9939
4454,6592
4480,5051
4517,2609
4532,5002
4544,4414
4548,12045
4566,6337
4575,3462
4601,11529
4650,5696
4655,9521
4670,5969
4673,140
4691,5371
4697,11088
4703,8605
4736,8393
4764,924
4765,5042
4768,9506
4771,8464
4774,2883
4819,2740
4832,10821
4853,4864
4908,12379
4911,1720
4915,11889
4964,5936
4991,3211
5017,11707
5019,6405
5027,6706
5030,10144
5057,2472
5066,7428
5074,726
5095,4530
5107,4593
5134,2414
5147,10356
5165,2370
5196,9899
5199,10684
5224,966
5229,2060
5263,4333
5264,6631
5265,8447
5283,548
5295,1940
5296,9940
5314,1451
5332,1499
5365,6106
5379,838
5387,2909
5401,11945
5417,4148
5428,6143
5431,10582
5446,10493
5457,7892
5460,1981
5541,10875
5545,8936
5549,4709
5568,11017
5586,12137
5595,12140
5660,2768
5701,579
5734,4346
5736,6565
5749,10144
5758,4978
5759,3672
5760,10180
5779,3145
5821,7206
5858,7531
5894,2429
5896,9713
5935,6932
5958,2811
5974,10013
5977,10886
5978,12039
5982,3920
6011,8777
6015,9311
6026,2009
6045,10633
6071,6264
6072,9468
6074,2557
6131,1293
6133,3900
6151,3618
6174,2101
6189,1386
6197,4329
6256,3713
6268,5853
6286,247
6306,11857
6326,6636
6340,437
6345,9244
6378,679
6428,12394
6458,6886
6461,564
6483,4116
6503,2618
6512,12125
6523,2750
6531,5600
6598,9243
6611,12297
6639,10078
6647,4922
6677,5072
6678,6276
6692,7094
6708,998
6727,5805
6763,4953
6780,938
6782,6498
6783,10759
6817,6867
6826,688
6829,8254
6845,655
6879,4391
6884,10201
6910,3192
6911,3580
6925,11858
6948,7500
6956,11035
6961,4523
6966,7827
6971,7695
7006,5888
7031,9464
7042,6623
7069,885
7103,12078
7110,2617
7120,9114
7126,9838
7143,3127
7166,4152
7171,2440
7180,1467
7194,7509
7195,3955
7207,9940
7276,2473
7311,8673
7358,222
7386,7956
7392,6848
7427,10613
7464,8720
7470,1675
7499,7804
7507,2958
7518,9077
7523,5752
7552,11352
7556,11891
7587,10689
7641,7717
7647,2813
7673,2497
7731,11214
7742,5127
7757,10805
7760,3396
7799,2767
7813,9023
7816,6291
7828,9106
7831,4661
7842,5787
7843,4066
7844,5354
7848,402
7863,5843
7870,10664
7874,11424
7877,12376
7904,7784
7964,3063
7972,2032
7976,9690
8000,10275
8019,9356
8021,7398
8024,10445
8051,10540
8056,7631
8059,2173
8066,10297
8083,11687
8090,5097
8092,7634
8109,2008
8129,3918
8140,1252
8142,8576
8152,10761
8163,10588
8169,20
8172,358
8179,9750
8252,15
8270,2549
8274,12165
8281,9386
8297,5599
8317,5225
8390,11288
8391,5061
8401,5990
8408,6995
8419,796
8420,7942
8440,8238
8441,11789
8444,3712
8452,10920
8459,6437
8484,290
8500,4487
8546,12192
8562,3660
8569,10752
8602,1846
8617,6290
8619,3595
8620,4313
8622,6997
8639,4665
8660,5330
8667,1810
8670,579
8677,3813
8685,8365
8694,8757
8703,11195
8705,7831
8744,10468
8762,9258
8818,2787
8825,10775
8829,428
8832,5623
8851,10079
8855,10458
8866,9822
8871,7771
8879,11482
8896,4664
8897,3464
8911,6193
8969,9875
8979,11110
8982,3251
8987,6149
9025,4407
9044,8479
9054,6104
9058,381
9108,341
9110,35
9135,5422
9176,11232
9189,7317
9202,2172
9254,4309
9345,10043
9410,2838
9423,11215
9432,1229
9444,7440
9445,10718
9474,1912
9499,6461
9500,9755
9518,7193
9526,12387
9532,7841
9560,7135
9627,5387
9661,199
9665,11132
9668,2429
9701,11570
9731,5615
9761,3767
9762,1527
9806,5652
9821,1853
9849,8637
9870,5488
9891,9729
9916,12179
9922,9207
9952,5331
9987,12068
10001,316
10095,2455
10119,7305
10122,459
10186,5205
10199,3617
10200,3946
10216,11404
10240,423
10246,2256
10271,9334
10284,5611
10312,2788
10315,4444
10323,6977
10330,10810
10344,90
10346,7723
10438,10104
10448,5549
10456,869
10468,7975
10515,8948
10558,2641
10585,10847
10595,11034
10606,7645
10635,6770
10653,9110
10725,2064
10733,329
10745,5103
10795,9372
10805,7958
10812,2453
10813,10657
10824,11426
10860,11124
10867,172
10874,11204
10905,543
10931,874
10945,1615
10953,5921
10958,1284
10965,9191
10981,5333
10984,9375
10987,5432
10996,8312
11002,9511
11013,4267
11032,2510
11085,4308
11099,2187
11113,5519
11118,1559
11123,6101
11124,5838
11133,215
11146,6616
11221,10567
11226,3168
11230,3435
11235,497
11278,4417
11295,10007
11299,10743
11301,6768
11336,6975
11354,1450
11358,5943
11375,12260
11438,10858
11440,3989
11450,4227
11463,622
11470,7234
11497,11557
11549,216
11551,6707
11592,10375
11598,5264
11608,6016
11614,433
11688,9510
11692,8691
11728,8652
11775,565
11829,8170
