9616,2013-07-26 00:00:00.0
11164,2013-07-27 00:00:00.0
8677,2013-07-28 00:00:00.0
6008,2013-07-28 00:00:00.0
8459,2013-07-29 00:00:00.0
4683,2013-07-30 00:00:00.0
2850,2013-07-31 00:00:00.0
11352,2013-07-31 00:00:00.0
6343,2013-07-31 00:00:00.0
5627,2013-08-01 00:00:00.0
6847,2013-08-01 00:00:00.0
4172,2013-08-02 00:00:00.0
6602,2013-08-02 00:00:00.0
10880,2013-08-02 00:00:00.0
6357,2013-08-02 00:00:00.0
9464,2013-08-03 00:00:00.0
6875,2013-08-03 00:00:00.0
2727,2013-08-03 00:00:00.0
2794,2013-08-05 00:00:00.0
2071,2013-08-06 00:00:00.0
9145,2013-08-06 00:00:00.0
3638,2013-08-07 00:00:00.0
2817,2013-08-10 00:00:00.0
4861,2013-08-10 00:00:00.0
8689,2013-08-11 00:00:00.0
2786,2013-08-11 00:00:00.0
11299,2013-08-12 00:00:00.0
9543,2013-08-14 00:00:00.0
2813,2013-08-15 00:00:00.0
10543,2013-08-17 00:00:00.0
5933,2013-08-17 00:00:00.0
6809,2013-08-17 00:00:00.0
2777,2013-08-18 00:00:00.0
6617,2013-08-18 00:00:00.0
797,2013-08-19 00:00:00.0
3849,2013-08-21 00:00:00.0
10116,2013-08-22 00:00:00.0
5832,2013-08-22 00:00:00.0
9414,2013-08-23 00:00:00.0
8335,2013-08-24 00:00:00.0
2355,2013-08-25 00:00:00.0
3420,2013-08-25 00:00:00.0
1524,2013-08-25 00:00:00.0
9875,2013-08-27 00:00:00.0
7196,2013-08-28 00:00:00.0
9011,2013-08-29 00:00:00.0
1075,2013-08-29 00:00:00.0
3716,2013-08-29 00:00:00.0
6349,2013-08-31 00:00:00.0
850,2013-08-31 00:00:00.0
5911,2013-09-02 00:00:00.0
2382,2013-09-05 00:00:00.0
4048,2013-09-06 00:00:00.0
7915,2013-09-07 00:00:00.0
11225,2013-09-08 00:00:00.0
7952,2013-09-08 00:00:00.0
5921,2013-09-09 00:00:00.0
10968,2013-09-12 00:00:00.0
10914,2013-09-13 00:00:00.0
4102,2013-09-14 00:00:00.0
5774,2013-09-14 00:00:00.0
11046,2013-09-14 00:00:00.0
6915,2013-09-14 00:00:00.0
2537,2013-09-17 00:00:00.0
5983,2013-09-18 00:00:00.0
7227,2013-09-18 00:00:00.0
8065,2013-09-18 00:00:00.0
11542,2013-09-18 00:00:00.0
5748,2013-09-18 00:00:00.0
9431,2013-09-19 00:00:00.0
10571,2013-09-19 00:00:00.0
12002,2013-09-20 00:00:00.0
7591,2013-09-20 00:00:00.0
12340,2013-09-22 00:00:00.0
10250,2013-09-22 00:00:00.0
9894,2013-09-23 00:00:00.0
4829,2013-09-24 00:00:00.0
3087,2013-09-24 00:00:00.0
5573,2013-09-24 00:00:00.0
10301,2013-09-25 00:00:00.0
11789,2013-09-25 00:00:00.0
1180,2013-09-26 00:00:00.0
10917,2013-09-26 00:00:00.0
10071,2013-09-26 00:00:00.0
11112,2013-09-27 00:00:00.0
10992,2013-09-27 00:00:00.0
11606,2013-09-27 00:00:00.0
4909,2013-09-27 00:00:00.0
5525,2013-09-28 00:00:00.0
8789,2013-09-28 00:00:00.0
