6086,2013-09-01T00:00:00.000+05:30,1565,COMPLETE
6087,2013-09-01T00:00:00.000+05:30,5147,COMPLETE
6088,2013-09-01T00:00:00.000+05:30,5113,COMPLETE
6089,2013-09-01T00:00:00.000+05:30,11418,COMPLETE
6091,2013-09-01T00:00:00.000+05:30,8511,COMPLETE
6093,2013-09-01T00:00:00.000+05:30,8857,COMPLETE
6094,2013-09-01T00:00:00.000+05:30,12187,COMPLETE
6097,2013-09-01T00:00:00.000+05:30,2058,COMPLETE
6100,2013-09-01T00:00:00.000+05:30,8522,COMPLETE
6102,2013-09-01T00:00:00.000+05:30,1048,COMPLETE
6105,2013-09-01T00:00:00.000+05:30,10447,COMPLETE
6110,2013-09-01T00:00:00.000+05:30,4121,COMPLETE
6116,2013-09-01T00:00:00.000+05:30,2546,COMPLETE
6118,2013-09-01T00:00:00.000+05:30,1981,COMPLETE
6120,2013-09-01T00:00:00.000+05:30,95,COMPLETE
6124,2013-09-01T00:00:00.000+05:30,7776,COMPLETE
6127,2013-09-01T00:00:00.000+05:30,8415,COMPLETE
6129,2013-09-01T00:00:00.000+05:30,6154,COMPLETE
6130,2013-09-01T00:00:00.000+05:30,7592,COMPLETE
6132,2013-09-01T00:00:00.000+05:30,2415,COMPLETE
6137,2013-09-01T00:00:00.000+05:30,3253,COMPLETE
6138,2013-09-01T00:00:00.000+05:30,5409,COMPLETE
6148,2013-09-02T00:00:00.000+05:30,4645,COMPLETE
6150,2013-09-02T00:00:00.000+05:30,7449,COMPLETE
6153,2013-09-02T00:00:00.000+05:30,8148,COMPLETE
6156,2013-09-02T00:00:00.000+05:30,10316,COMPLETE
6159,2013-09-02T00:00:00.000+05:30,12247,COMPLETE
6160,2013-09-02T00:00:00.000+05:30,12434,COMPLETE
6161,2013-09-02T00:00:00.000+05:30,6784,COMPLETE
6167,2013-09-02T00:00:00.000+05:30,1788,COMPLETE
6169,2013-09-02T00:00:00.000+05:30,2805,COMPLETE
6170,2013-09-02T00:00:00.000+05:30,7278,COMPLETE
6171,2013-09-02T00:00:00.000+05:30,6552,COMPLETE
6173,2013-09-02T00:00:00.000+05:30,6402,COMPLETE
6175,2013-09-02T00:00:00.000+05:30,7225,COMPLETE
6184,2013-09-02T00:00:00.000+05:30,3379,COMPLETE
6190,2013-09-02T00:00:00.000+05:30,5296,COMPLETE
6191,2013-09-02T00:00:00.000+05:30,1910,COMPLETE
6193,2013-09-02T00:00:00.000+05:30,8934,COMPLETE
6194,2013-09-02T00:00:00.000+05:30,1127,COMPLETE
6195,2013-09-02T00:00:00.000+05:30,1918,COMPLETE
6198,2013-09-02T00:00:00.000+05:30,2636,COMPLETE
